synthetic_record_id,ps,timestamp,zone_id,event_phase,source_id,measurement_value,quality_score,confidence,missingness_flag,anomaly_flag,latency_seconds,temperature_c,humidity_pct,source_method,verification_status,data_lineage
SEVA_SYN_006252,SEVAK AI,2025-03-07 03:00:00,35,post_event,185,104.211,1.0,0.8846,False,False,13.5,28.07,45.17,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004684,SEVAK AI,2025-02-18 19:00:00,55,peak,139,87.147,1.0,0.8863,False,False,16.55,27.3,52.64,synthetic_augmentation,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_001731,SEVAK AI,2025-01-19 00:45:00,44,event,38,213.58,1.0,1.0,False,False,12.56,17.66,69.48,synthetic_augmentation,verified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004742,SEVAK AI,2025-02-19 09:30:00,97,event,273,250.54,1.0,1.0,False,False,9.3,25.92,86.14,synthetic_augmentation,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004521,SEVAK AI,2025-02-17 02:15:00,26,normal,440,94.248,0.9259,0.7248,False,False,6.19,23.88,56.98,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_006340,SEVAK AI,2025-03-08 01:00:00,61,normal,118,99.029,1.0,1.0,False,False,35.69,31.37,46.78,sensor,verified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000576,SEVAK AI,2025-01-07 00:00:00,88,normal,303,124.747,0.9603,0.7842,False,False,15.8,30.98,66.87,synthetic_augmentation,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_005202,SEVAK AI,2025-02-24 04:30:00,87,normal,469,154.831,0.994,0.863,False,False,10.26,31.26,50.61,sensor,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_006363,SEVAK AI,2025-03-08 06:45:00,47,normal,257,90.95,1.0,1.0,False,False,37.07,24.08,51.74,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000439,SEVAK AI,2025-01-05 13:45:00,75,post_event,433,134.42,0.8518,0.8388,False,False,36.65,31.67,55.51,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_002750,SEVAK AI,2025-01-29 15:30:00,76,normal,107,80.407,0.8277,0.9045,False,False,20.8,25.71,60.77,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_007487,SEVAK AI,2025-03-19 23:45:00,25,peak,270,52.89,0.8451,0.9707,False,False,8.54,26.25,77.07,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_005272,SEVAK AI,2025-02-24 22:00:00,78,event,30,150.504,0.941,0.8717,False,False,14.29,28.03,74.71,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_005653,SEVAK AI,2025-02-28 21:15:00,78,peak,474,118.732,1.0,0.9964,False,False,0.7,29.52,81.14,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_003999,SEVAK AI,2025-02-11 15:45:00,54,peak,81,93.063,0.9543,0.8231,False,False,10.26,27.07,65.11,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_006033,SEVAK AI,2025-03-04 20:15:00,56,peak,434,75.746,0.9573,0.8696,False,False,12.46,24.07,63.32,synthetic_augmentation,verified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000582,SEVAK AI,2025-01-07 01:30:00,51,post_event,148,117.285,0.9492,0.883,False,False,19.64,20.43,55.19,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_009930,SEVAK AI,2025-04-14 10:30:00,8,event,406,301.116,0.9948,0.7299,False,False,14.02,16.21,66.14,synthetic_augmentation,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_007051,SEVAK AI,2025-03-15 10:45:00,62,event,428,124.85,0.8521,0.9296,False,False,21.42,26.29,35.29,synthetic_augmentation,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_008158,SEVAK AI,2025-03-26 23:30:00,85,normal,368,60.573,0.9276,0.9366,False,False,27.95,23.13,45.55,manual,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_009896,SEVAK AI,2025-04-14 02:00:00,89,pre_event,226,144.999,0.8362,0.8906,False,False,2.13,23.69,78.51,synthetic_augmentation,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_002249,SEVAK AI,2025-01-24 10:15:00,43,event,456,136.496,0.8969,0.9488,False,False,3.75,25.61,98.0,manual,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004640,SEVAK AI,2025-02-18 08:00:00,75,normal,223,121.367,0.8685,0.9667,False,False,20.29,28.64,45.8,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_009485,SEVAK AI,2025-04-09 19:15:00,85,normal,172,77.807,1.0,0.7103,False,False,8.7,34.08,41.47,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004947,SEVAK AI,2025-02-21 12:45:00,3,pre_event,488,72.327,0.8064,0.9781,False,False,36.29,31.73,22.31,synthetic_augmentation,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_009920,SEVAK AI,2025-04-14 08:00:00,52,normal,274,91.559,0.9687,0.9034,False,False,29.57,27.33,64.58,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_001963,SEVAK AI,2025-01-21 10:45:00,18,normal,416,95.081,0.873,0.994,False,False,7.05,28.31,45.23,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_008243,SEVAK AI,2025-03-27 20:45:00,41,peak,247,107.679,1.0,0.9577,False,False,4.42,28.45,78.4,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_006590,SEVAK AI,2025-03-10 15:30:00,31,post_event,159,82.526,0.9329,0.7641,False,False,29.61,34.35,59.84,synthetic_augmentation,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_008847,SEVAK AI,2025-04-03 03:45:00,20,normal,217,39.548,0.9376,0.8606,True,False,19.33,31.0,62.78,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000321,SEVAK AI,2025-01-04 08:15:00,50,normal,465,87.171,0.8475,0.9683,False,False,17.7,26.01,42.53,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_002678,SEVAK AI,2025-01-28 21:30:00,43,normal,344,101.211,0.9802,0.8126,False,False,6.05,22.8,29.12,public_feed,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004625,SEVAK AI,2025-02-18 04:15:00,81,normal,22,51.133,0.9615,1.0,True,False,6.29,21.48,70.24,manual,verified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_004949,SEVAK AI,2025-02-21 13:15:00,93,normal,496,62.51,0.9504,0.968,False,False,16.52,29.84,58.83,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_008328,SEVAK AI,2025-03-28 18:00:00,28,normal,181,144.951,0.8904,1.0,False,False,11.8,30.17,77.14,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_003337,SEVAK AI,2025-02-04 18:15:00,2,peak,261,97.803,0.8105,0.9362,False,False,16.52,22.65,73.89,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_005589,SEVAK AI,2025-02-28 05:15:00,85,normal,54,40.488,0.9909,0.9978,False,False,7.16,43.21,71.91,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000251,SEVAK AI,2025-01-03 14:45:00,69,normal,31,144.805,0.8922,0.7914,False,False,20.58,29.0,44.73,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_003973,SEVAK AI,2025-02-11 09:15:00,81,normal,123,116.518,0.8471,0.8718,False,False,18.35,25.44,77.92,public_feed,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_006630,SEVAK AI,2025-03-11 01:30:00,86,peak,311,106.681,0.919,0.8894,False,False,11.97,30.65,87.93,system_log,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_005547,SEVAK AI,2025-02-27 18:45:00,71,peak,488,108.233,0.8835,1.0,False,False,14.88,25.54,75.78,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000035,SEVAK AI,2025-01-01 08:45:00,42,normal,109,159.979,0.8735,0.9287,False,False,10.75,32.39,49.5,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_008362,SEVAK AI,2025-03-29 02:30:00,22,pre_event,364,127.773,0.8947,0.7826,False,False,40.67,26.07,91.5,public_feed,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_001513,SEVAK AI,2025-01-16 18:15:00,90,normal,427,108.687,1.0,0.878,False,False,12.74,31.18,64.97,public_feed,verified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_009317,SEVAK AI,2025-04-08 01:15:00,12,post_event,127,47.643,0.8738,0.9232,False,False,14.47,35.41,62.9,system_log,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
