synthetic_record_id,ps,timestamp,zone_id,event_phase,source_id,measurement_value,quality_score,confidence,missingness_flag,anomaly_flag,latency_seconds,temperature_c,humidity_pct,source_method,verification_status,data_lineage
SEVA_SYN_000000,SEVAK AI,2025-01-01 00:00:00,41,post_event,83,84.749,0.8151,0.774,False,False,15.4,29.52,86.22,public_feed,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000001,SEVAK AI,2025-01-01 00:15:00,63,normal,321,94.852,0.8569,0.8388,False,False,19.86,30.92,49.86,synthetic_augmentation,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000002,SEVAK AI,2025-01-01 00:30:00,24,pre_event,407,88.345,0.9095,0.9764,False,False,17.06,23.68,58.9,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000003,SEVAK AI,2025-01-01 00:45:00,67,event,142,236.232,0.8628,0.9085,False,False,3.31,25.21,81.34,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000004,SEVAK AI,2025-01-01 01:00:00,22,normal,30,104.7,0.8813,0.8463,False,False,10.07,23.49,65.58,synthetic_augmentation,sample_checked,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000005,SEVAK AI,2025-01-01 01:15:00,24,peak,423,88.469,0.8102,1.0,False,False,19.68,27.69,86.7,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000006,SEVAK AI,2025-01-01 01:30:00,70,pre_event,237,51.255,0.8497,0.8947,False,False,8.36,33.05,40.93,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000007,SEVAK AI,2025-01-01 01:45:00,17,peak,283,95.898,0.9429,1.0,False,False,5.78,18.14,45.48,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000008,SEVAK AI,2025-01-01 02:00:00,80,pre_event,147,83.236,0.9889,0.841,False,False,9.23,31.92,73.74,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000009,SEVAK AI,2025-01-01 02:15:00,17,peak,480,95.109,1.0,1.0,False,False,3.19,33.27,71.8,synthetic_augmentation,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000010,SEVAK AI,2025-01-01 02:30:00,25,peak,211,50.935,0.899,1.0,False,False,3.89,28.04,55.12,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000011,SEVAK AI,2025-01-01 02:45:00,66,event,210,392.451,0.8961,0.83,False,False,13.36,23.11,85.93,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000012,SEVAK AI,2025-01-01 03:00:00,62,post_event,426,89.521,0.9472,0.8578,False,False,20.93,25.74,86.77,public_feed,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000013,SEVAK AI,2025-01-01 03:15:00,9,normal,8,66.881,0.7287,1.0,False,False,11.35,17.34,59.36,public_feed,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000014,SEVAK AI,2025-01-01 03:30:00,9,peak,159,110.979,0.9276,1.0,True,False,9.8,24.1,57.82,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000015,SEVAK AI,2025-01-01 03:45:00,34,peak,8,159.4,0.9721,0.6961,False,False,26.22,34.87,61.61,system_log,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000016,SEVAK AI,2025-01-01 04:00:00,35,normal,454,91.822,0.8578,0.8299,False,False,13.56,27.91,45.14,manual,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000017,SEVAK AI,2025-01-01 04:15:00,67,event,222,233.232,0.9165,0.933,False,False,11.06,32.54,70.68,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
SEVA_SYN_000018,SEVAK AI,2025-01-01 04:30:00,46,normal,183,130.622,0.8763,0.7896,False,False,10.25,32.39,52.02,sensor,unverified,SYNTHETIC_DEVELOPMENT_DATA
